id_bnb,id_rpls,distance
0,94592,24.75401819044333
1,3849,63.466280841859295
2,4787,102.27240321683222
3,10907,63.40314489200371
4,214985,46.990786648709154
5,3,110.04952806525836
6,25770,19.130777141072336
7,146381,33.94037016230793
8,157803,22.171666933244122
9,9092,105.19766665284115
10,6873,86.98693463755299
11,11772,10.622771691152279
12,147058,90.25022340607279
13,65974,9.28310922838499
14,22283,47.59588630839496
15,23790,43.75420846406574
16,22930,61.021115522908566
17,9538,116.15725490077679
18,155644,68.69870318231166
19,183444,6.42489001540764
20,67757,132.16067953686144
21,4146,64.67908421843494
22,8231,75.25323806158534
23,17436,28.63715770119416
24,9910,34.99488192097664
25,9910,17.202088054910416
26,377,25.44495870221429
27,149404,36.565457499150206
28,138701,21.072049299684
29,7361,65.78037038370651
30,8629,354.33740135859136
31,5253,88.09206314282862
32,35547,5.140398086839103
33,152593,8.963153831761261
34,7361,86.44846474269197
35,24548,23.85679341734398
36,147588,21.91196688986334
37,1342,69.37100297495711
38,1045,49.16421882097328
39,8860,275.2907430916792
40,7034,271.1401663094502
41,219951,44.40134392708602
42,136872,84.53369727194686
43,148095,129.2614829481183
44,117688,102.20023798262676
45,124315,30.6624984430676
46,185207,28.17177973609137
47,5094,124.42331597965635
48,210583,199.15913824928157
49,161724,74.96218367690881
50,1426,42.13976995323299
51,225232,10.76465758943385
52,8606,42.83643845812068
53,153335,100.5456148963492
54,92566,145.13340149888404
55,44917,91.8841423357172
56,43871,57.262497202286674
57,15373,56.093463768638884
58,5165,48.969309928099136
59,8718,296.8271695439322
60,94993,136.60984272497558
61,142773,111.15886210696777
62,36844,130.22839037824195
63,8718,112.05582296692819
64,123967,122.93504932638395
65,23790,105.1900870470923
66,30764,46.27498350630046
67,175251,85.50852938436289
68,181752,128.1666086199323
69,117271,52.250238249479764
70,25104,39.98724754445834
71,69974,88.38875407758749
72,38347,83.36164115262217
73,4810,82.69159005090549
74,1153,27.83204744201457
75,20211,35.09266649020741
76,4146,22.821274453965177
77,21532,50.236298099876755
78,17680,67.57934749530885
79,134259,53.33630655135595
80,55087,48.066801176344306
81,3883,34.23676027716783
82,2786,46.5733369461042
83,217,29.97064216373081
84,10909,166.26168960714492
85,176812,53.93040011356844
86,124776,60.60259372592622
87,22722,62.86764186174547
88,17132,6.838180530931244
89,148095,228.1270730935629
90,3972,30.464065791412946
91,17647,34.738338703171195
92,190622,35.96836790640723
93,1233,101.02280269980402
94,222814,69.13767675074544
95,118737,175.50029934128628
96,708,43.349763379189746
97,4146,67.54423903304891
98,8839,138.46650593209662
99,26615,67.33020286484886
100,4881,26.98169952839076
101,157839,56.87451611690834
102,4781,21.35396473103197
103,146671,55.78831340562578
104,24578,86.94915384305796
105,2197,47.06777133320535
106,157601,78.10629029590216
107,9909,46.926593461249865
108,8888,128.27293343466846
109,2647,77.04501683258427
110,159050,36.87610378872281
111,111394,53.50289450740668
112,100554,78.88273350351189
113,8036,233.43087399569802
114,121431,262.99732388018293
115,93177,55.37914559302273
116,175513,37.904020862541365
117,157792,41.32479733736809
118,182889,70.54585699618296
119,12339,48.31430090674547
120,174074,85.48710545303261
121,136703,42.764374166180296
122,136018,28.64196849228406
123,136703,33.08810781688789
124,7621,18.601418160209683
125,4146,147.16007828495364
126,7198,47.92647006449126
127,17552,21.5564473610472
128,182889,66.92855453246354
129,141,52.35391789403204
130,4795,31.07775018705469
131,69401,18.888072126336134
132,188374,63.40550413460878
133,8445,81.95973937540658
134,35761,40.548145891721155
135,11772,74.8139947838048
136,111,110.38792248320794
137,3576,79.25621800492954
138,225127,34.51169628972687
139,2223,70.99830660336373
140,56233,32.136371879409154
141,9842,85.53492658989
142,4881,50.04757714224976
143,204583,74.49353347222099
144,7111,173.52613972939488
145,156870,13.1782819177691
146,155805,28.756913573590737
147,21503,31.80601156190754
148,2223,110.25022152942124
149,476,21.84378628026352
150,8190,76.38907712154786
151,13025,15.488459918375106
152,155634,80.10057081116585
153,69976,58.24109800115742
154,1221,60.789669912720306
155,92251,111.59655081950113
156,214985,141.2257537848956
157,23235,75.39254177813518
158,22933,76.76137075992881
159,149404,51.64746231176342
160,54485,42.93028394356494
161,2278,55.663346368010274
162,2159,35.32825869900664
163,21006,26.71596097149109
164,136703,438.6005452913369
165,7773,91.61131042476131
166,7111,34.037443301228656
167,191319,95.51464280501112
168,134253,160.8800726100371
169,215004,37.56430397645318
170,111049,81.89714368163575
171,151835,35.827526972870835
172,126262,16.5443554617524
173,69038,61.785531266598646
174,1557,87.44333028500374
175,20613,64.31309007262014
176,3972,50.88382685459783
177,8349,118.14490128731819
178,9656,37.339618865901045
179,206645,50.46503387620954
180,113562,54.40527836446647
181,2782,25.83296608364261
